English,Transliteration,Supposed Pronounciation,Phoenician
hair,sh3rt,sha3art,𐤔𐤏𐤓𐤕
hand,yd,yad,𐤉𐤃
happiness,2shr/2shryt(Ug),2ushur/2ishrayat(Ug),𐤀𐤔𐤓
(to be) happy,2lsh/shm7(Ug),2alash/shama7(Ug),(Ug)𐤀𐤋𐤔/𐤔𐤌𐤇
hate,shn2(Ug),shane2(Ug),(Ug)𐤔𐤍𐤀
he,h2/hw(Ug),hu2/huw(Ug)/haw(Ug),(Ug)𐤄𐤀/𐤄𐤅
head,r2sh/rish(Ug),ra2sh,𐤓𐤀𐤔
