English,Transliteration,Supposed Pronounciation,Phoenician
above,3l,3al,𐤏‬𐤋
after,27r/25r(Ug),2a7er/2a5er(Ug),𐤀‬𐤇‬𐤓
all,kl,kol,𐤊‬𐤋‬
altar,mzb7/mdb7(Ug),mazba7/madba7(Ug),(Ug)𐤌𐤆𐤁𐤇/𐤌‬𐤃‬𐤁‬𐤇
and,w,w,𐤅
(to) anoint,msh7,msha7/masha7,𐤌𐤔𐤇
(to) approach,qrb,qarab,𐤒𐤓𐤁
arm,zr3/dr3(Ug),zra3a/dra3a(Ug),(Ug)𐤆𐤓𐤏/𐤃𐤓𐤏
army(troops),shb2,shaba2,𐤔𐤁𐤀
(to) ask,sh2l,sha2al,𐤔𐤀𐤋
